feature,coefficient,absolute_importance,feature_group
developer_publisher__developer_Ominous Entertainment,-0.5923558031053552,0.5923558031053552,Other
"developer_publisher__publisher_Tonguç Bodur,Tonguç Bodur",-0.5908439581649928,0.5908439581649928,Other
developer_publisher__developer_Tonguç Bodur,-0.5908439581649928,0.5908439581649928,Other
developer_publisher__developer_Alientrap,0.5880265773271347,0.5880265773271347,Other
"developer_publisher__publisher_Alientrap,Alientrap",0.5880265773271347,0.5880265773271347,Other
developer_publisher__developer_Obsidian Entertainment,0.5840835871351876,0.5840835871351876,Other
"developer_publisher__developer_Flashback Games,The Lordz Games Studio",0.5838405979185035,0.5838405979185035,Other
developer_publisher__developer_Bossa Studios,0.5812541506490374,0.5812541506490374,Other
developer_publisher__developer_SimBin,-0.5745186046890317,0.5745186046890317,Other
tags__tag_rpg,0.572154272961746,0.572154272961746,Other
"developer_publisher__publisher_Ripstone,Ripstone",-0.5704120711069716,0.5704120711069716,Other
"developer_publisher__developer_TT Games,Feral Interactive (Mac)",-0.5675363699510041,0.5675363699510041,Other
"developer_publisher__publisher_Spike Chunsoft Co., Ltd.,Spike Chunsoft Co., Ltd.",0.5641028401011551,0.5641028401011551,Other
"developer_publisher__publisher_GSC Game World,GSC Game World",-0.5618145385832253,0.5618145385832253,Other
"developer_publisher__publisher_AGM PLAYISM,AGM PLAYISM",-0.5579689862055939,0.5579689862055939,Other
tags__tag_strategy,0.5545121075682755,0.5545121075682755,Other
developer_publisher__developer_Wargaming Group Limited,0.5533910401104105,0.5533910401104105,Other
developer_publisher__developer_Klei Entertainment,0.5514042831644833,0.5514042831644833,Other
"developer_publisher__publisher_Chubby Pixel,Chubby Pixel",0.5478615868209727,0.5478615868209727,Other
numeric__release_year,-0.5471105840995684,0.5471105840995684,Other
"developer_publisher__publisher_Fellow Traveller,Fellow Traveller",0.5468540766680883,0.5468540766680883,Other
"developer_publisher__publisher_0Cube,0Cube",-0.5440438333285398,0.5440438333285398,Other
"developer_publisher__publisher_Frontwing USA,Frontwing USA",0.5431691546323961,0.5431691546323961,Other
developer_publisher__developer_The Farm 51,0.5405613413759979,0.5405613413759979,Other
"developer_publisher__publisher_Riviysky,Riviysky",-0.539041379782879,0.539041379782879,Other
"developer_publisher__publisher_Aspyr,Aspyr",0.5382656181088642,0.5382656181088642,Other
"developer_publisher__publisher_SCS Software,SCS Software",0.5379996362955353,0.5379996362955353,Other
"developer_publisher__publisher_Viva Media,Viva Media",-0.536077619868749,0.536077619868749,Other
"developer_publisher__publisher_H2 Interactive Co., Ltd.,H2 Interactive Co., Ltd.",0.5350468165074415,0.5350468165074415,Other
"developer_publisher__publisher_Crisp App Studio,Crisp App Studio",-0.5347999231605693,0.5347999231605693,Other
developer_publisher__developer_Wonderbox Games,-0.5335351492594278,0.5335351492594278,Other
"developer_publisher__publisher_Wonderbox Games,Wonderbox Games",-0.5335351492594278,0.5335351492594278,Other
"developer_publisher__developer_CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)",0.5331105540756134,0.5331105540756134,Other
"developer_publisher__developer_PopCap Games, Inc.",0.527293434473035,0.527293434473035,Other
developer_publisher__developer_Red Dolphin Games,-0.5261375922015459,0.5261375922015459,Other
"developer_publisher__publisher_Siberian Digital,Siberian Digital",0.5243072421390398,0.5243072421390398,Other
"developer_publisher__publisher_HIKARI FIELD,HIKARI FIELD",0.5230121704340552,0.5230121704340552,Other
developer_publisher__developer_EXOR Studios,0.517961194263893,0.517961194263893,Other
developer_publisher__developer_Bethesda Game Studios,0.5153107124628202,0.5153107124628202,Other
genres__genre_casual,-0.5137212722718832,0.5137212722718832,Other
"developer_publisher__publisher_Black Shell Media,Black Shell Media",-0.5136460311373193,0.5136460311373193,Other
developer_publisher__developer_Haemimont Games,-0.5127418693950312,0.5127418693950312,Other
"developer_publisher__publisher_Konstructors Entertainment,Konstructors Entertainment",0.5104340789791867,0.5104340789791867,Other
"developer_publisher__publisher_Ghost_RUS Games,Ghost_RUS Games",-0.507480896206755,0.507480896206755,Other
